SubTopic2,cProjects,Country Name,gGrade,Indicator,Time,Latitude (generated),Longitude (generated),Fact Value
2 Reading,PISA,Vietnam,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,21.75,105.373,486.773773193
2 Reading,PISA,Uruguay,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,-32.948,-56.249,436.572143555
2 Reading,PISA,United States,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,40.0792,-98.8164,496.935089111
2 Reading,PISA,United Kingdom,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,52.289,-1.259,497.971923828
2 Reading,PISA,United Arab Emirates,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,23.9299,53.9031,433.542297363
2 Reading,PISA,Turkey,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,39.144,34.188,428.335083008
2 Reading,PISA,Tunisia,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,35.594,9.421,361.055511475
2 Reading,PISA,Trinidad and Tobago,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,10.4435,-61.2604,427.273254395
2 Reading,PISA,Thailand,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,15.688,100.845,409.130126953
2 Reading,PISA,Switzerland,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,46.7794,8.0329,492.198242188
2 Reading,PISA,Sweden,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,66.2188,19,500.155609131
2 Reading,PISA,Spain,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,40.617,-3.388,495.576446533
2 Reading,PISA,Slovenia,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,46.037,14.534,505.215881348
2 Reading,PISA,Slovak Republic,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,48.8595,19.4434,452.514343262
2 Reading,PISA,Singapore,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,1.3389,103.8297,535.100158691
2 Reading,PISA,Russian Federation,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,64.736,104.062,494.627838135
2 Reading,PISA,Qatar,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,25.3174,51.1522,401.887329102
2 Reading,PISA,Portugal,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,40.957,-7.9373,498.12890625
2 Reading,PISA,Poland,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,52.442,19.72,505.697082520
2 Reading,PISA,Peru,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,-12.664,-72.98,397.541442871
2 Reading,PISA,Norway,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,61.3701,9.3031,513.191162109
