SubTopic2,cProjects,Country Name,gGrade,Indicator,Time,Latitude (generated),Longitude (generated),Fact Value
3 Science,PISA,Vietnam,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,21.75,105.373,551.447448730
3 Science,PISA,Uruguay,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,-32.948,-56.249,457.604644775
3 Science,PISA,United States,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,40.0792,-98.8164,521.594360352
3 Science,PISA,United Kingdom,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,52.289,-1.259,535.236450195
3 Science,PISA,United Arab Emirates,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,23.9299,53.9031,459.042755127
3 Science,PISA,Turkey,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,39.144,34.188,447.226806641
3 Science,PISA,Tunisia,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,35.594,9.421,406.143859863
3 Science,PISA,Trinidad and Tobago,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,10.4435,-61.2604,446.281829834
3 Science,PISA,Thailand,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,15.688,100.845,442.862487793
3 Science,PISA,Switzerland,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,46.7794,8.0329,531.330993652
3 Science,PISA,Sweden,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,66.2188,19,518.630187988
3 Science,PISA,Spain,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,40.617,-3.388,517.961486816
3 Science,PISA,Slovenia,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,46.037,14.534,539.064636230
3 Science,PISA,Slovak Republic,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,48.8595,19.4434,484.314788818
3 Science,PISA,Singapore,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,1.3389,103.8297,583.957763672
3 Science,PISA,Russian Federation,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,64.736,104.062,511.491912842
3 Science,PISA,Qatar,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,25.3174,51.1522,438.945953369
3 Science,PISA,Portugal,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,40.957,-7.9373,526.700134277
3 Science,PISA,Poland,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,52.442,19.72,527.052551270
3 Science,PISA,Peru,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,-12.664,-72.98,416.949310303
3 Science,PISA,Norway,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,61.3701,9.3031,523.947387695
3 Science,PISA,New Zealand,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,-42.558,172.377,539.527038574
3 Science,PISA,Netherlands,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,52.1704,5.0102,534.556762695
3 Science,PISA,Montenegro,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,42.857,19.096,432.326751709
3 Science,PISA,Moldova,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,47.524,28.444,449.863250732
